@RELATION knnMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {artifact,extrahls,murmur,normal}

@DATA
0.344616,0.000383,2.917617,0.342816,0.297232,1.894602,0.003032,0.396597,-38.761950,0.931948,0.049799,0.079673,-0.110543,-0.050253,-0.059541,-0.069226,-0.035808,-0.029679,-0.056101,-0.037465,-0.059066,0.011316,0.004198,0.014493,0.009493,0.012879,0.006782,0.014417,0.002441,0.005602,0.010765,0.012619,0.004505,0.007102,0.087630,0.001544,0.580805,0.075512,0.030253,0.762783,0.004050,0.201628,2.288864,0.929594,0.377309,0.265530,0.235327,0.171347,0.160812,0.157290,0.149891,0.160188,0.167042,0.154912,0.135874,0.008529,0.003672,0.012798,0.009168,0.011669,0.005404,0.011956,0.001583,0.004274,0.009889,0.011268,0.004042,0.005635,171.428571,0.104167,artifact
0.491634,0.002133,3.202554,0.526535,0.242055,1.532478,0.001385,0.610849,-34.502267,0.391446,-0.332068,0.060479,-0.074716,-0.078510,-0.117264,-0.023563,-0.084599,-0.040485,-0.023247,0.001278,-0.033702,0.006320,0.003322,0.007902,0.006730,0.006190,0.005812,0.008093,0.003473,0.004589,0.004705,0.005140,0.003680,0.003645,0.056331,0.004390,0.124308,0.045389,0.014898,0.269840,0.000543,0.090779,1.590087,0.402371,0.197673,0.145726,0.141940,0.159099,0.142768,0.132759,0.132877,0.142072,0.125428,0.134296,0.122621,0.004362,0.002169,0.006016,0.005464,0.004837,0.004792,0.005761,0.003082,0.003448,0.003468,0.003232,0.002224,0.002399,300.000000,0.104762,artifact
0.302140,0.001505,3.165565,0.325709,0.273507,2.160318,0.000938,0.520523,-28.766346,0.293291,-0.514165,-0.115915,-0.131319,-0.070709,-0.114565,-0.018151,-0.059492,-0.075334,-0.072409,-0.030916,-0.014891,0.006769,0.004796,0.007337,0.006296,0.006687,0.006211,0.006922,0.003908,0.004545,0.005324,0.006535,0.005053,0.002922,0.046611,0.001991,0.174958,0.033679,0.022087,0.314794,0.000264,0.139400,1.467453,0.332240,0.194403,0.160062,0.157740,0.159285,0.145242,0.169332,0.146601,0.144447,0.127599,0.145306,0.133921,0.003958,0.002754,0.003528,0.003462,0.003692,0.003193,0.003127,0.002535,0.002563,0.002601,0.002917,0.003088,0.001046,300.000000,0.099138,artifact
0.060115,0.000393,2.990678,0.147224,0.182895,0.575597,0.005178,0.106660,-29.330699,1.835198,-0.355801,-0.341509,-0.306512,-0.131647,-0.276420,-0.034749,-0.149616,-0.145023,-0.164783,-0.075127,-0.136844,0.016841,0.007595,0.023261,0.017001,0.021065,0.013819,0.019380,0.005466,0.010671,0.013698,0.016948,0.010439,0.013982,0.025830,0.000595,0.364178,0.041574,0.027956,0.418248,0.003122,0.084747,1.276917,0.658661,0.392499,0.295836,0.278451,0.221670,0.217452,0.208603,0.203425,0.172875,0.194893,0.166676,0.164730,0.014731,0.006296,0.017651,0.014891,0.022828,0.012100,0.015869,0.006000,0.009747,0.011941,0.014697,0.010018,0.007815,200.000000,0.085271,artifact
0.101407,0.001661,3.002484,0.202258,0.252911,0.644927,0.002976,0.137094,-29.632645,1.641949,-0.257974,0.134157,-0.332413,-0.115363,-0.252631,-0.208615,-0.099885,-0.170353,0.019537,-0.065950,-0.168055,0.020416,0.008986,0.020582,0.016841,0.022706,0.017499,0.022603,0.004599,0.009483,0.013920,0.014670,0.008960,0.013179,0.043709,0.004061,0.353372,0.055698,0.034541,0.381494,0.001347,0.124967,1.647005,0.436063,0.309686,0.241722,0.247442,0.250085,0.195192,0.187998,0.189013,0.164903,0.177545,0.157433,0.152081,0.013822,0.006427,0.013361,0.013621,0.018469,0.014462,0.013792,0.004727,0.006500,0.008599,0.010372,0.008346,0.005357,240.000000,0.080321,artifact
0.449919,0.007449,3.217417,0.479315,0.178594,1.238117,0.002331,0.569782,-35.274981,0.560374,0.228526,0.311919,0.008784,0.108364,-0.069083,-0.039326,-0.171784,-0.104201,-0.115846,0.025015,-0.066745,0.026869,0.001216,0.011680,0.005889,0.014319,0.009573,0.011273,0.001510,0.002575,0.007492,0.012466,0.001382,0.010910,0.039568,0.002657,0.068623,0.036155,0.008822,0.130230,0.000752,0.047359,1.172086,0.190308,0.153628,0.140686,0.153973,0.139441,0.131192,0.127822,0.119861,0.119994,0.124271,0.122994,0.123665,0.024683,0.001201,0.008905,0.004698,0.006418,0.008031,0.006629,0.001129,0.001827,0.005976,0.008823,0.001007,0.005127,200.000000,0.106481,artifact
0.291324,0.000244,3.120631,0.344025,0.234988,1.291957,0.001696,0.371612,-34.577038,0.532475,-0.335701,-0.075025,-0.361500,-0.058307,-0.162328,0.040989,-0.134766,-0.054631,-0.074240,-0.011324,-0.056830,0.010302,0.006384,0.009931,0.009819,0.011437,0.008790,0.009810,0.003755,0.006101,0.007396,0.008650,0.005960,0.005180,0.072040,0.000433,0.285239,0.068196,0.023251,0.268211,0.000596,0.095361,2.320300,0.328606,0.209253,0.142083,0.210359,0.166821,0.161470,0.151849,0.135710,0.119007,0.119827,0.115420,0.115386,0.006256,0.005004,0.005733,0.005650,0.004810,0.005423,0.004886,0.002643,0.004263,0.004421,0.005054,0.004082,0.001622,300.000000,0.124402,artifact
0.047726,0.030260,2.615525,0.128942,0.191317,0.389258,0.007598,0.062165,-28.582270,2.544914,0.280721,0.330800,0.172246,0.033119,0.000200,-0.100889,-0.014143,-0.086087,-0.020072,-0.057405,-0.022438,0.021802,0.003644,0.041090,0.015080,0.034866,0.012170,0.037687,0.001451,0.005549,0.025705,0.033380,0.003853,0.020122,0.024422,0.031449,0.471295,0.039556,0.037329,0.311110,0.004197,0.051445,2.592303,0.694283,0.330762,0.302151,0.280621,0.215921,0.192447,0.199302,0.179688,0.158599,0.145494,0.133353,0.143250,0.016967,0.003081,0.021362,0.011548,0.022483,0.011550,0.021070,0.001333,0.003942,0.019706,0.017081,0.002837,0.006176,300.000000,0.119231,artifact
0.147134,0.000321,2.887257,0.202501,0.220687,0.988843,0.002644,0.254532,-31.447446,1.597797,-0.455514,-0.348422,-0.426707,-0.171352,-0.118922,-0.078326,-0.248201,-0.149033,-0.069196,0.026140,0.009085,0.013767,0.006827,0.017264,0.012280,0.010794,0.014675,0.041933,0.003878,0.008847,0.006722,0.010509,0.006049,0.012822,0.039070,0.000494,0.441948,0.035216,0.022138,0.382792,0.001302,0.124816,1.335732,0.443723,0.273902,0.245644,0.213084,0.155617,0.156050,0.142025,0.139376,0.136384,0.144777,0.137879,0.138274,0.008818,0.005033,0.010115,0.007476,0.006197,0.010991,0.020991,0.002775,0.004976,0.003926,0.005635,0.003875,0.005425,300.000000,0.126050,artifact
0.160579,0.144066,3.261151,0.263342,0.235042,1.902863,0.001105,0.312482,-20.466337,0.140685,-0.121194,-0.107302,-0.107978,-0.019794,0.052520,0.015473,-0.093904,-0.047875,-0.039555,0.042232,-0.035826,0.005878,0.004499,0.009667,0.006306,0.007323,0.006362,0.010576,0.004036,0.005291,0.005406,0.007052,0.003874,0.003667,0.028243,0.027092,0.071417,0.027393,0.017065,0.252160,0.000266,0.058321,1.017809,0.306528,0.235257,0.188768,0.188320,0.157433,0.161912,0.158264,0.144301,0.135301,0.129677,0.154795,0.146362,0.003001,0.002733,0.004738,0.003807,0.004059,0.003669,0.005373,0.002344,0.002753,0.002372,0.003328,0.001870,0.001589,300.000000,0.176471,artifact
